Year 	Mat 	Inns 	NO 	100s 	50s 	0s 	HS   	Runs 	Avg 	S/R 	Ca 	St
2007 	1 	1 	0 	0 	0 	0 	36 	36 	36.00 	66.67 	0 	0
2008 	18 	16 	5 	0 	1 	0 	58* 	279 	25.36 	60.52 	3 	0
2009 	18 	12 	3 	0 	1 	0 	51* 	248 	27.56 	72.94 	7 	0
2010 	24 	22 	6 	0 	2 	1 	64* 	507 	31.69 	69.26 	3 	0
2011 	15 	13 	5 	0 	2 	0 	68* 	304 	38.00 	75.25 	6 	0
2012 	9 	8 	5 	0 	2 	1 	56* 	212 	70.67 	85.48 	3 	0
2013 	9 	8 	1 	0 	1 	0 	75* 	243 	34.71 	84.97 	2 	0
2014 	16 	14 	3 	0 	2 	3 	82* 	294 	26.73 	75.97 	10 	0
2015 	15 	14 	1 	2 	3 	1 	128* 	506 	38.92 	78.21 	4 	0
2016 	9 	9 	1 	0 	2 	1 	75 	229 	28.63 	82.97 	2 	0
2017 	14 	12 	5 	1 	1 	0 	102* 	360 	51.43 	91.60 	8 	0
2018 	20 	16 	3 	0 	3 	1 	76 	419 	32.23 	75.36 	8 	0
2019 	3 	3 	0 	0 	0 	0 	16 	36 	12.00 	49.32 	1 	0 
