Year 	Mat 	Inns 	NO 	100s 	50s 	0s 	HS   	Runs 	Avg 	S/R 	Ca 	St
2006 	5 	2 	1 	0 	0 	0 	18* 	24 	24.00 	68.57 	2 	2
2007 	23 	20 	5 	0 	2 	5 	57 	326 	21.73 	52.08 	17 	4
2008 	12 	12 	0 	0 	0 	0 	44 	185 	15.42 	56.75 	4 	0
2009 	19 	17 	4 	0 	2 	1 	98 	387 	29.77 	76.63 	14 	5
2010 	25 	24 	3 	0 	3 	1 	86 	538 	25.62 	71.35 	19 	11
2011 	20 	20 	4 	1 	3 	2 	101 	527 	32.94 	67.05 	15 	8
2012 	9 	9 	2 	0 	1 	0 	79 	264 	37.71 	81.73 	11 	3
2013 	9 	8 	0 	0 	1 	0 	90 	198 	24.75 	82.85 	7 	1
2014 	18 	17 	1 	1 	6 	0 	117 	704 	44.00 	85.33 	15 	2
2015 	18 	16 	1 	2 	4 	0 	107 	767 	51.13 	101.59 	22 	2
2016 	7 	7 	2 	0 	1 	0 	67* 	198 	39.60 	91.67 	8 	1
2017 	14 	13 	3 	1 	4 	1 	110* 	458 	45.80 	82.37 	9 	1
2018 	19 	19 	5 	1 	5 	0 	144 	770 	55.00 	82.35 	21 	2
2019 	3 	3 	0 	0 	0 	0 	24 	46 	15.33 	59.74 	0 	0
Overall (14) 	201 	187 	31 	6 	32 	10 	144 	5392 	34.56 	77.49 	164 	42 
