Year 	Mat 	Inns 	NO 	100s 	50s 	0s 	HS   	Runs 	Avg 	S/R 	Ca 	St
2007 	21 	21 	0 	0 	3 	0 	54 	455 	21.67 	62.50 	9 	0
2008 	26 	26 	0 	1 	5 	4 	129 	807 	31.04 	77.97 	8 	0
2009 	19 	19 	0 	1 	3 	2 	154 	602 	31.68 	79.00 	3 	0
2010 	23 	23 	0 	1 	5 	2 	125 	776 	33.74 	96.16 	5 	0
2011 	20 	20 	1 	0 	3 	4 	70 	475 	25.00 	78.00 	4 	0
2012 	9 	9 	0 	0 	5 	0 	70 	347 	38.56 	82.82 	4 	0
2013 	6 	6 	0 	1 	1 	0 	112 	240 	40.00 	66.12 	0 	0
2014 	11 	10 	0 	0 	2 	1 	76 	269 	26.90 	67.76 	1 	0
2015 	18 	18 	2 	2 	5 	2 	132 	742 	46.38 	81.63 	1 	0
2016 	9 	9 	0 	1 	2 	0 	118 	407 	45.22 	73.73 	2 	0
2017 	12 	11 	1 	2 	4 	1 	128 	646 	64.60 	83.14 	4 	0
2018 	12 	12 	4 	2 	6 	0 	130* 	684 	85.50 	76.34 	5 	0
2019 	3 	3 	0 	0 	0 	1 	5 	10 	3.33 	27.78 	2 	0
Overall (13) 	189 	187 	8 	11 	44 	17 	154 	6460 	36.09 	77.93 	48 	0 
