Year 	Mat 	Inns 	NO 	100s 	50s 	0s 	HS   	Runs 	Avg 	S/R 	Ca 	St
2008 	5 	5 	0 	0 	1 	0 	54 	159 	31.80 	66.53 	3 	0
2009 	10 	8 	2 	1 	2 	0 	107 	325 	54.17 	84.42 	4 	0
2010 	25 	24 	3 	3 	7 	3 	118 	995 	47.38 	85.12 	9 	0
2011 	34 	34 	5 	4 	8 	2 	117 	1381 	47.62 	85.56 	19 	0
2012 	17 	17 	2 	5 	3 	1 	183 	1026 	68.40 	93.78 	14 	0
2013 	34 	30 	6 	4 	7 	3 	115* 	1268 	52.83 	97.54 	11 	0
2014 	21 	20 	2 	4 	5 	1 	139* 	1054 	58.56 	99.62 	8 	0
2015 	20 	20 	3 	2 	1 	0 	138 	623 	36.65 	80.60 	11 	0
2016 	10 	10 	2 	3 	4 	0 	154* 	739 	92.38 	100.00 	6 	0
2017 	26 	26 	7 	6 	7 	2 	131 	1460 	76.84 	99.12 	9 	0
2018 	14 	14 	5 	6 	3 	0 	160* 	1202 	133.56 	102.56 	9 	0
2019 	11 	11 	0 	3 	1 	0 	123 	611 	55.55 	94.29 	8 	0
Overall (12) 	227 	219 	37 	41 	49 	12 	183 	10843 	59.58 	92.96 	111 	0 
